# 0.816319
LHPLU	0	0	1	0	5	1	UCVCLVrIVICIV	ITEM/0.976530
UCVCLVrIVICIV	0	0	1	1	13	LHPLU	1	B-DES/0.872730
1	1	1	0	0	1	UCVCLVrIVICIV	null	PRICE/0.948523

# 0.872404
WBM	0	0	1	0	3	PRICING	Item	ITEM/0.997496
Item	0	0	1	0	4	WBM	#	B-DES/0.996405
#	0	0	0	0	1	Item	UM	I-DES/0.998224
UM	0	0	1	0	2	#	WBM	I-DES/0.998619
WBM	0	0	1	0	3	UM	DESCRIPTION	I-DES/0.998028
DESCRIPTION	0	0	1	0	11	WBM	PRICING	I-DES/0.990540
PRICING	0	0	1	0	7	DESCRIPTION	null	I-DES/0.883036

# 0.721738
UNV10201	0	0	0	0	8	27.95	BX	ITEM/0.978475
BX	0	0	1	1	2	UNV10201	4	B-DES/0.974176
4	1	1	0	0	1	BX	SEC.	I-DES/0.974106
SEC.	0	0	0	0	4	4	BLUE	I-DES/0.984083
BLUE	0	0	1	0	4	SEC.	CLASS.	I-DES/0.981015
CLASS.	0	0	0	0	6	BLUE	FOLDERS	I-DES/0.998406
FOLDERS	0	0	1	0	7	CLASS.	-	I-DES/0.998637
-	0	0	0	0	1	FOLDERS	10/EA	I-DES/0.998390
10/EA	0	0	0	0	5	-	$	I-DES/0.973875
$	0	0	0	1	1	10/EA	27.95	I-DES/0.922722
27.95	1	1	0	0	5	$	null	PRICE/0.866432

# 0.722065
UNV10252	0	0	0	0	8	16.99	BX	ITEM/0.978475
BX	0	0	1	1	2	UNV10252	4	B-DES/0.974173
4	1	1	0	0	1	BX	SEC.	I-DES/0.974031
SEC.	0	0	0	0	4	4	GRAY	I-DES/0.983974
GRAY	0	0	1	0	4	SEC.	CLASS.	I-DES/0.980899
CLASS.	0	0	0	0	6	GRAY	FOLDERS	I-DES/0.998400
FOLDERS	0	0	1	0	7	CLASS.	-	I-DES/0.998635
-	0	0	0	0	1	FOLDERS	10/EA	I-DES/0.998388
10/EA	0	0	0	0	5	-	$	I-DES/0.973653
$	0	0	0	1	1	10/EA	16.99	I-DES/0.922334
16.99	1	1	0	0	5	$	null	PRICE/0.867349

# 0.722724
UNV10251	0	0	0	0	8	18.99	BX	ITEM/0.978473
BX	0	0	1	1	2	UNV10251	4	B-DES/0.974158
4	1	1	0	0	1	BX	SEC.	I-DES/0.973805
SEC.	0	0	0	0	4	4	GREEN	I-DES/0.984187
GREEN	0	0	1	0	5	SEC.	CLASS.	I-DES/0.981163
CLASS.	0	0	0	0	6	GREEN	FOLDERS	I-DES/0.998418
FOLDERS	0	0	1	0	7	CLASS.	-	I-DES/0.998635
-	0	0	0	0	1	FOLDERS	10/EA	I-DES/0.998383
10/EA	0	0	0	0	5	-	$	I-DES/0.973167
$	0	0	0	1	1	10/EA	18.99	I-DES/0.921551
18.99	1	1	0	0	5	$	null	PRICE/0.868791

# 0.720642
UNV10203	0	0	0	0	8	27.95	BX	ITEM/0.978475
BX	0	0	1	1	2	UNV10203	4	B-DES/0.974173
4	1	1	0	0	1	BX	SEC.	I-DES/0.974031
SEC.	0	0	0	0	4	4	RUBY	I-DES/0.983974
RUBY	0	0	1	0	4	SEC.	RED	I-DES/0.980899
RED	0	0	1	0	3	RUBY	CLASS.	I-DES/0.998400
CLASS.	0	0	0	0	6	RED	FOLDERS	I-DES/0.998637
FOLDERS	0	0	1	0	7	CLASS.	-	I-DES/0.998637
-	0	0	0	0	1	FOLDERS	10/EA	I-DES/0.998390
10/EA	0	0	0	0	5	-	$	I-DES/0.973875
$	0	0	0	1	1	10/EA	27.95	I-DES/0.922722
27.95	1	1	0	0	5	$	null	PRICE/0.866432

# 0.721590
UNV10204	0	0	0	0	8	28.88	BX	ITEM/0.978475
BX	0	0	1	1	2	UNV10204	4	B-DES/0.974173
4	1	1	0	0	1	BX	SEC.	I-DES/0.974031
SEC.	0	0	0	0	4	4	YELLOW	I-DES/0.983974
YELLOW	0	0	1	0	6	SEC.	CLASS.	I-DES/0.980899
CLASS.	0	0	0	0	6	YELLOW	FOLDERS	I-DES/0.998400
FOLDERS	0	0	1	0	7	CLASS.	-	I-DES/0.998635
-	0	0	0	0	1	FOLDERS	10/EA	I-DES/0.998390
10/EA	0	0	0	0	5	-	$	I-DES/0.973875
$	0	0	0	1	1	10/EA	28.88	I-DES/0.922722
28.88	1	1	0	0	5	$	null	PRICE/0.866432

# 0.720923
UNV10301	0	0	0	0	8	18.95	BX	ITEM/0.979044
BX	0	0	1	1	2	UNV10301	6	B-DES/0.975050
6	1	1	0	0	1	BX	SEC.	I-DES/0.972027
SEC.	0	0	0	0	4	6	BLUE	I-DES/0.983427
BLUE	0	0	1	0	4	SEC.	CLASS.	I-DES/0.980818
CLASS.	0	0	0	0	6	BLUE	FOLDERS	I-DES/0.998405
FOLDERS	0	0	1	0	7	CLASS.	-	I-DES/0.998637
-	0	0	0	0	1	FOLDERS	10/EA	I-DES/0.998390
10/EA	0	0	0	0	5	-	$	I-DES/0.973875
$	0	0	0	1	1	10/EA	18.95	I-DES/0.922722
18.95	1	1	0	0	5	$	null	PRICE/0.866432

# 0.721828
UNV10272	0	0	0	0	8	18.99	BX	ITEM/0.979043
BX	0	0	1	1	2	UNV10272	6	B-DES/0.975047
6	1	1	0	0	1	BX	SEC.	I-DES/0.971945
SEC.	0	0	0	0	4	6	GRAY	I-DES/0.983314
GRAY	0	0	1	0	4	SEC.	CLASS.	I-DES/0.980700
CLASS.	0	0	0	0	6	GRAY	FOLDERS	I-DES/0.998399
FOLDERS	0	0	1	0	7	CLASS.	-	I-DES/0.998635
-	0	0	0	0	1	FOLDERS	10/EA	I-DES/0.998383
