Pedro	1	1	1	Mr	Esteves	B-PER	B-PER
Esteves	1	1	1	Pedro	-	I-PER	I-PER
-	1	1	1	Esteves	Graduate	O	O
Graduate	1	1	1	-	Teaching	O	O
Teaching	1	1	1	Graduate	Assistant	O	O
Assistant	1	1	1	Teaching	.	O	O
.	1	1	1	Assistant	Ms	O	O
Ms	1	1	1	.	Maria	O	O
Maria	1	1	1	Ms	Fernandez	B-PER	B-PER
Fernandez	1	1	1	Maria	Salgado	I-PER	I-PER
Salgado	1	1	1	Fernandez	-	I-PER	I-PER
-	1	1	1	Salgado	Graduate	O	O
Graduate	1	1	1	-	Teaching	O	O
Teaching	1	1	1	Graduate	Assistant	O	O
Assistant	1	1	1	Teaching	Mr	O	O
Mr	1	1	1	Assistant	Paul	O	O
Paul	1	1	1	Mr	Fisher	O	B-PER
Fisher	1	1	1	Paul	-	O	I-PER
-	1	1	1	Fisher	Graduate	O	O
Graduate	1	1	1	-	Teaching	O	O
Teaching	1	1	1	Graduate	Assistant	O	O
Assistant	1	1	1	Teaching	.	O	O
.	1	1	1	Assistant	Ms	O	O
Ms	1	1	1	.	Luz	O	O
Luz	1	1	1	Ms	Adriana	B-PER	O
Adriana	1	1	1	Luz	Florez	I-PER	O
Florez	1	1	1	Adriana	.	I-PER	O
.	1	1	1	Florez	Mr	O	O
Mr	1	1	1	.	Mateusz	O	O
Mateusz	1	1	1	Mr	Gatkowski	B-PER	B-PER
Gatkowski	1	1	1	Mateusz	-	I-PER	I-PER
-	1	1	1	Gatkowski	Graduate	O	O
Graduate	1	1	1	-	Teaching	O	O
Teaching	1	1	1	Graduate	Assistant	O	O
Assistant	1	1	0	Teaching	(CCFEA	O	O
(CCFEA	0	1	1	Assistant	)	O	O
)	1	0	1	(CCFEA	.	O	O
.	1	1	1	)	Mr	O	O
Mr	1	1	1	.	Mehmet	O	O
Mehmet	1	1	1	Mr	G	B-PER	B-PER
G	1	1	1	Mehmet	Goktan	I-PER	I-PER
Goktan	1	1	1	G	-	I-PER	I-PER
-	1	1	1	Goktan	Graduate	O	O
Graduate	1	1	1	-	Teaching	O	O
Teaching	1	1	1	Graduate	Assistant	O	O
Assistant	1	1	1	Teaching	.	O	O
.	1	1	1	Assistant	Mr	O	O
Mr	1	1	1	.	Nurullah	O	O
Nurullah	1	1	1	Mr	Gur	B-PER	B-PER
Gur	1	1	1	Nurullah	-	I-PER	I-PER
-	1	1	1	Gur	Graduate	O	O
Graduate	1	1	1	-	Teaching	O	O
Teaching	1	1	1	Graduate	Assistant	O	O
Assistant	1	1	1	Teaching	.	O	O
.	1	1	1	Assistant	Professor	O	O
Professor	1	1	1	.	Phil	O	O
Phil	1	1	1	Professor	Mullineaux	B-PER	B-PER
Mullineaux	1	1	1	Phil	.	I-PER	I-PER
.	1	1	1	Mullineaux	Director	O	O
Director	1	1	0	.	of	O	O
of	0	1	1	Director	Research	O	O
Research	1	0	1	of	.	O	O
.	1	1	1	Research	Groups	O	O
Groups	1	1	0	.	and	O	O
and	0	1	1	Groups	Centres	O	O
Centres	1	0	1	and	Our	O	O
Our	1	1	0	Centres	research	O	O
research	0	1	0	Our	is	O	O
is	0	0	0	research	subdivided	O	O
subdivided	0	0	0	is	into	O	O
into	0	0	0	subdivided	a	O	O
a	0	0	0	into	number	O	O
number	0	0	0	a	of	O	O
of	0	0	0	number	common	O	O
common	0	0	0	of	areas	O	O
areas	0	0	1	common	.	O	O
.	1	0	1	areas	This	O	O
This	1	1	0	.	brings	O	O
brings	0	1	0	This	together	O	O
together	0	0	0	brings	like-minded	O	O
like-minded	0	0	0	together	researchers	O	O
researchers	0	0	0	like-minded	to	O	O
to	0	0	0	researchers	permit	O	O
permit	0	0	0	to	the	O	O
the	0	0	0	permit	sharing	O	O
sharing	0	0	0	the	of	O	O
of	0	0	0	sharing	equipment	O	O
equipment	0	0	0	of	and	O	O
and	0	0	0	equipment	ideas	O	O
ideas	0	0	1	and	.	O	O
.	1	0	1	ideas	Below	O	O
Below	1	1	0	.	you	O	O
you	0	1	0	Below	will	O	O
will	0	0	0	you	find	O	O
find	0	0	0	will	our	O	O
our	0	0	0	find	research	O	O
research	0	0	0	our	groups	O	O
groups	0	0	1	research	,	O	O
,	1	0	0	groups	in	O	O
in	0	1	0	,	the	O	O
the	0	0	0	in	orange	O	O
orange	0	0	0	the	box	O	O
box	0	0	0	orange	on	O	O
on	0	0	0	box	the	O	O
the	0	0	0	on	right	O	O
right	0	0	0	the	you	O	O
you	0	0	0	right	can	O	O
can	0	0	0	you	see	O	O
see	0	0	0	can	a	O	O
a	0	0	0	see	number	O	O
number	0	0	0	a	of	O	O
of	0	0	0	number	research	O	O
research	0	0	0	of	centres	O	O
centres	0	0	0	research	focussed	O	O
focussed	0	0	0	centres	on	O	O
on	0	0	0	focussed	specific	O	O
specific	0	0	0	on	biological	O	O
biological	0	0	0	specific	problems	O	O
problems	0	0	1	biological	.	O	O
.	1	0	1	problems	Molecular	O	O
Molecular	1	1	1	.	Biophysics	O	O
Biophysics	1	1	1	Molecular	.	O	O
.	1	1	1	Biophysics	We	O	O
We	1	1	0	.	apply	O	O
apply	0	1	0	We	a	O	O
a	0	0	0	apply	range	O	O
range	0	0	0	a	of	O	O
of	0	0	0	range	biophysical	O	O
biophysical	0	0	0	of	techniques	O	O
techniques	0	0	0	biophysical	to	O	O
to	0	0	0	techniques	study	O	O
study	0	0	0	to	the	O	O
the	0	0	0	study	structure	O	O
structure	0	0	0	the	and	O	O
and	0	0	0	structure	function	O	O
function	0	0	0	and	of	O	O
of	0	0	0	function	macromolecules	O	O
macromolecules	0	0	1	of	,	O	O
,	1	0	0	macromolecules	our	O	O
our	0	1	0	,	core	O	O
core	0	0	0	our	interests	O	O
interests	0	0	0	core	revolve	O	O
revolve	0	0	0	interests	around	O	O
around	0	0	0	revolve	metalloproteins	O	O
metalloproteins	0	0	0	around	and	O	O
and	0	0	0	metalloproteins	protein	O	O
protein	0	0	0	and	dynamics	O	O
dynamics	0	0	1	protein	.	O	O
.	1	0	1	dynamics	Environmental	O	O
Environmental	1	1	1	.	Biology	O	O
Biology	1	1	1	Environmental	.	O	O
.	1	1	1	Biology	This	O	O
This	1	1	0	.	group	O	O
group	0	1	0	This	studies	O	O
studies	0	0	0	group	changes	O	O
changes	0	0	0	studies	in	O	O
in	0	0	0	changes	the	O	O
the	0	0	0	in	environment	O	O
