ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
UNV10270,"FOLDER,PSBD,6SEC.2/5C,LTR(S60900)",2,BX,30.99,61.98
QUA46065,"MOISTENER,ENVLPE GLUE,GN",3,EA,3.29,9.87
UNV10630,"PAD,LTR RULED,PERF,LTR,CA(67163)",1,DZ,9.99,9.99
GMT14737,"TEA,K-CUP,GREEN DECAF.24/BX",1,BX,14.99,14.99
GMT6520,"COFFEE,K-CUP,BREAKFAST BLEND,LIGHT,24EA/BX",1,BX,14.99,14.99
PGC35045,"TISSUE,PUFFS,3/56SH,WH",1,PK,7.99,7.99
UNV11124,"BINDER CLIPS,BLACK.MEDIUM,24/PK",1,PK,3.79,3.79
HEWCE505A,"TONER,F/P2035/2055-2.3K",1,EA,90.99,90.99
HEWCF280A,"TONER,F/M401/425-2.7K",1,EA,103.99,103.99
MMM654AST,"NOTE,POST-IT 3X3,PST",1,PK,17.99,17.99
WBM21200,"PAPER ,XERO/DUP,WE,LTR,20#",2,CT,46.99,93.98
